"Timestamp","RealValue","LearnedValue","Residual"
" 2024-01-05 09:40:50","4.161","",""
" 2024-01-05 09:40:57","4.153","",""
" 2024-01-05 09:41:07","4.146","",""
" 2024-01-05 09:41:14","4.157","",""
" 2024-01-05 09:41:22","4.15","",""
" 2024-01-05 09:41:30","4.149","",""
" 2024-01-05 09:41:37","4.161","",""
" 2024-01-05 09:41:45","4.154","",""
" 2024-01-05 09:41:53","4.157","",""
" 2024-01-05 09:42:01","4.156","",""
" 2024-01-05 09:42:08","4.15","",""
" 2024-01-05 09:42:16","4.158","",""
" 2024-01-05 09:42:24","4.157","",""
" 2024-01-05 09:42:31","4.158","",""
" 2024-01-05 09:42:39","4.154","",""
" 2024-01-05 09:42:47","4.16","",""
" 2024-01-05 09:42:55","4.154","",""
" 2024-01-05 09:43:02","4.156","",""
" 2024-01-05 09:43:09","4.162","",""
" 2024-01-05 09:43:17","4.15","",""
" 2024-01-05 09:43:24","4.162","",""
" 2024-01-05 09:43:32","4.156","",""
" 2024-01-05 09:43:40","4.157","",""
" 2024-01-05 09:43:48","4.165","",""
" 2024-01-05 09:43:55","4.15","",""
" 2024-01-05 09:44:03","4.153","",""
" 2024-01-05 09:44:11","4.16","",""
" 2024-01-05 09:44:18","4.156","",""
" 2024-01-05 09:44:26","4.153","",""
" 2024-01-05 09:44:34","4.158","",""
" 2024-01-05 09:44:42","4.153","",""
" 2024-01-05 09:44:49","4.161","",""
" 2024-01-05 09:44:57","4.153","",""
" 2024-01-05 09:45:05","4.162","",""
" 2024-01-05 09:45:12","4.154","",""
" 2024-01-05 09:45:20","4.154","",""
" 2024-01-05 09:45:28","4.162","",""
" 2024-01-05 09:45:36","4.154","",""
" 2024-01-05 09:45:50","4.158","",""
" 2024-01-05 09:45:59","4.162","",""
" 2024-01-05 09:46:06","4.156","",""
" 2024-01-05 09:46:14","4.16","",""
" 2024-01-05 09:46:22","4.167","",""
" 2024-01-05 09:46:30","4.16","",""
" 2024-01-05 09:46:37","4.156","",""
" 2024-01-05 09:46:45","4.161","",""
" 2024-01-05 09:46:53","4.153","",""
" 2024-01-05 09:47:00","4.149","",""
" 2024-01-05 09:47:08","4.16","",""
" 2024-01-05 09:47:16","4.161","",""
" 2024-01-05 09:47:22","4.157","",""
" 2024-01-05 09:47:31","4.167","",""
" 2024-01-05 09:47:39","4.16","",""
" 2024-01-05 09:47:46","4.168","",""
" 2024-01-05 09:47:54","4.151","",""
" 2024-01-05 09:48:02","4.158","",""
" 2024-01-05 09:48:10","4.162","",""
" 2024-01-05 09:48:17","4.16","",""
" 2024-01-05 09:48:25","4.168","",""
" 2024-01-05 09:48:33","4.156","",""
" 2024-01-05 09:48:41","4.154","",""
" 2024-01-05 09:48:48","4.16","",""
" 2024-01-05 09:48:56","4.162","",""
" 2024-01-05 09:49:04","4.154","",""
" 2024-01-05 09:49:10","4.161","",""
" 2024-01-05 09:49:19","4.151","",""
" 2024-01-05 09:49:26","4.156","",""
" 2024-01-05 09:49:34","4.158","",""
" 2024-01-05 09:49:41","4.161","",""
" 2024-01-05 09:49:49","4.162","",""
" 2024-01-05 09:49:57","4.161","",""
" 2024-01-05 09:50:04","4.167","",""
" 2024-01-05 09:50:13","4.157","",""
" 2024-01-05 09:50:21","4.149","",""
" 2024-01-05 09:50:28","4.157","",""
" 2024-01-05 09:50:35","4.16","",""
" 2024-01-05 09:50:43","4.151","",""
" 2024-01-05 09:50:51","4.153","",""
" 2024-01-05 09:50:59","4.161","",""
" 2024-01-05 09:51:06","4.16","",""
" 2024-01-05 09:51:15","4.156","",""
" 2024-01-05 09:51:22","4.15","",""
" 2024-01-05 09:51:29","4.151","",""
" 2024-01-05 09:51:46","4.157","",""
" 2024-01-05 09:51:52","4.16","",""
" 2024-01-05 09:52:00","4.168","",""
" 2024-01-05 09:52:08","4.145","",""
" 2024-01-05 09:52:16","4.153","",""
" 2024-01-05 09:52:23","4.158","",""
" 2024-01-05 09:52:31","4.167","",""
" 2024-01-05 09:52:39","4.158","",""
" 2024-01-05 09:52:47","4.165","",""
" 2024-01-05 09:52:55","4.156","",""
" 2024-01-05 09:53:03","4.153","",""
" 2024-01-05 09:53:11","4.157","",""
" 2024-01-05 09:53:18","4.16","",""
" 2024-01-05 09:53:26","4.15","",""
" 2024-01-05 09:53:33","4.154","",""
" 2024-01-05 09:53:40","4.161","",""
" 2024-01-05 09:53:48","4.154","",""
" 2024-01-05 09:53:56","4.157","",""
" 2024-01-05 09:54:03","4.15","",""
" 2024-01-05 09:54:11","4.154","",""
" 2024-01-05 09:54:19","4.15","",""
" 2024-01-05 09:54:27","4.153","",""
" 2024-01-05 09:54:34","4.16","",""
" 2024-01-05 09:54:42","4.151","",""
" 2024-01-05 09:54:50","4.162","",""
" 2024-01-05 09:54:57","4.16","",""
" 2024-01-05 09:55:05","4.16","",""
" 2024-01-05 09:55:13","4.161","",""
" 2024-01-05 09:55:22","4.15","",""
" 2024-01-05 09:55:29","4.157","",""
" 2024-01-05 09:55:37","4.162","",""
" 2024-01-05 09:55:45","4.157","",""
" 2024-01-05 09:55:52","4.162","",""
" 2024-01-05 09:56:00","4.16","",""
" 2024-01-05 09:56:08","4.157","",""
" 2024-01-05 09:56:16","4.154","",""
" 2024-01-05 09:56:23","4.162","",""
" 2024-01-05 09:56:31","4.16","",""
" 2024-01-05 09:56:39","4.156","",""
" 2024-01-05 09:56:46","4.161","",""
" 2024-01-05 09:56:54","4.153","",""
" 2024-01-05 09:57:02","4.162","",""
" 2024-01-05 09:57:10","4.151","",""
" 2024-01-05 09:57:17","4.16","",""
" 2024-01-05 09:57:25","4.151","",""
" 2024-01-05 09:57:33","4.157","",""
" 2024-01-05 09:57:40","4.164","",""
" 2024-01-05 09:57:48","4.157","",""
" 2024-01-05 09:57:56","4.161","",""
" 2024-01-05 09:58:04","4.16","",""
" 2024-01-05 09:58:11","4.158","",""
" 2024-01-05 09:58:19","4.165","",""
" 2024-01-05 09:58:27","4.156","",""
" 2024-01-05 09:58:34","4.156","",""
" 2024-01-05 09:58:42","4.158","",""
" 2024-01-05 09:58:50","4.147","",""
" 2024-01-05 09:58:58","4.157","",""
" 2024-01-05 09:59:05","4.157","",""
" 2024-01-05 09:59:13","4.154","",""
" 2024-01-05 09:59:21","4.164","",""
" 2024-01-05 09:59:28","4.157","",""
" 2024-01-05 09:59:36","4.156","",""
" 2024-01-05 09:59:44","4.158","",""
" 2024-01-05 09:59:52","4.162","",""
