Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION,3370-01-G-MODE,3370-01-P-MODE
2024-08-06 12:47:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:47:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:48:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:49:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:00,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:05,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:10,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:15,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:20,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:25,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:30,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:35,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:40,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:45,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:50,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:50:55,79.4,97.63,0.48,1.0,1.0
2024-08-06 12:51:00,79.4,97.63,0.48,1.0,1.0
