Timestamp,3370-01-TBNBRG-VIB-X,3370-01-TBNBRG-VIB-Y,3370-01-CAVITATION
 2024-08-08 15:59:41,3.72,2.41,0.06
 2024-08-08 16:00:12,3.94,2.53,0.08
 2024-08-08 16:12:48,4.96,3.19,0.03
 2024-08-08 16:59:44,2.3,1.83,0.05
 2024-08-08 16:59:52,2.8,2.53,0.04
 2024-08-08 17:00:07,2.38,2.42,0.03
 2024-08-08 17:30:51,2.31,1.97,10.63
 2024-08-08 17:59:34,4.14,3.49,0.42
 2024-08-08 17:59:49,3.07,2.48,0.48
 2024-08-08 18:09:03,3.88,2.28,0.33
 2024-08-08 18:50:18,2.17,3.34,1.48
 2024-08-08 18:59:51,4.35,1.9,0.93
 2024-08-08 18:59:58,2.86,2.49,0.96
 2024-08-08 19:11:56,2.91,3.02,1.53
 2024-08-08 19:21:58,115.05,1.08,0.5
 2024-08-08 19:59:53,1.03,1.4,1.09
 2024-08-08 20:00:09,1.43,1.47,1.36
 2024-08-08 20:03:52,1.12,1.04,1.4
 2024-08-08 20:52:20,1.04,471.244,0.39
 2024-08-08 20:59:48,287.26,198.64,0.5
 2024-08-08 20:59:55,173.61,192.48,0.48
 2024-08-08 21:30:22,178.16,244.49,0.83
 2024-08-08 21:48:30,238.94,72.59,0.4
 2024-08-08 21:59:56,79.25,86.55,0.49
 2024-08-08 22:00:03,88.96,83.86,0.5
 2024-08-08 22:02:56,88.11,105.68,0.81
 2024-08-08 22:45:21,75.37,74.72,0.03
 2024-08-08 22:59:53,104.17,93.42,0.04
 2024-08-08 23:00:24,85.52,80.83,0.07
 2024-08-08 23:01:56,91.04,97.46,0.03
 2024-08-08 23:59:54,96.82,64.45,0.04
 2024-08-09 00:00:10,70.5,75.58,0.05
 2024-08-09 00:02:59,83.77,70.63,0.03
 2024-08-09 00:12:53,75.72,86.03,0.07
 2024-08-09 00:59:40,91.53,61.44,0.04
 2024-08-09 00:59:55,69.14,67.51,0.05
 2024-08-09 01:07:23,79.68,74,0.03
 2024-08-09 01:36:26,77.36,86.78,0.08
 2024-08-09 01:59:42,87.52,1.04,0.05
 2024-08-09 01:59:50,1.09,1.69,0.04
 2024-08-09 02:04:27,1.54,1.3,0.03
 2024-08-09 02:09:51,1.27,1.7,0.07
 2024-08-09 02:59:56,1.09,0.87,0.05
 2024-08-09 03:00:04,2.39,1.32,0.04
 2024-08-09 03:03:09,1.63,1.1,0.08
 2024-08-09 03:12:09,1.77,0.92,0.03
 2024-08-09 03:59:52,1.09,1.7,0.04
 2024-08-09 04:00:00,2.16,1.3,0.05
 2024-08-09 04:01:17,1.21,1.12,0.03
 2024-08-09 04:06:41,1.54,1.02,0.08
 2024-08-09 04:59:56,1.05,1.84,0.04
 2024-08-09 05:00:04,5.14,1.23,0.05
 2024-08-09 05:03:40,1.75,1.3,0.03
 2024-08-09 05:16:32,1.44,1.05,0.08
 2024-08-09 05:59:52,3.88,2.13,0.04
 2024-08-09 06:00:00,1.05,1.33,0.05
 2024-08-09 06:03:36,1.58,1.21,0.03
 2024-08-09 06:24:26,1.35,1.04,0.08
 2024-08-09 06:59:56,7.64,1.72,0.04
 2024-08-09 07:00:19,1.06,1.56,0.05
 2024-08-09 07:02:15,1.82,1.2,0.03
 2024-08-09 07:03:32,1.73,1.04,0.08
 2024-08-09 07:59:37,2.65,1.68,0.04
 2024-08-09 08:00:08,1.01,1.28,0.05
 2024-08-09 08:00:31,1.41,1.11,0.03
