Timestamp,3370-02-EBB08,3370-02-AI153,3370-02-AI156,3370-02-AI109,3370-02-AI110
 2024-09-23 03:59:49,8.836,7.658,9.225,53.148,53.255
 2024-09-23 04:00:05,8.717,10.626,8.36,53.11,53.262
 2024-09-23 04:00:20,8.744,8.021,8.827,53.087,53.27
 2024-09-23 04:09:44,8.73,7.946,8.804,53.293,53.239
 2024-09-23 04:59:53,7.311,8.467,8.415,53.232,53.247
 2024-09-23 05:00:31,8.863,7.611,9.422,53.247,53.255
 2024-09-23 05:00:47,8.575,7.706,9.243,53.14,53.262
 2024-09-23 05:01:41,8.598,7.889,8.895,53.163,53.247
 2024-09-23 05:59:56,8.621,7.62,8.534,53.171,53.262
 2024-09-23 06:00:04,8.437,8.414,9.454,53.224,53.255
 2024-09-23 06:00:35,8.483,7.956,9.298,53.156,53.247
 2024-09-23 06:01:29,8.47,7.969,9.335,53.201,53.262
 2024-09-23 06:59:37,8.405,7.882,9.193,53.194,53.247
 2024-09-23 07:00:00,10.557,8.126,9.513,53.171,53.255
 2024-09-23 07:51:58,8.753,8.034,9.376,53.209,53.545
 2024-09-23 07:52:52,8.772,8.027,9.445,53.194,50.569
 2024-09-23 07:59:56,8.781,8.557,8.405,53.201,51.691
 2024-09-23 08:00:04,8.671,7.712,9.783,53.178,51.706
 2024-09-23 08:01:29,8.703,8.196,9.39,53.209,51.683
 2024-09-23 09:00:00,8.712,8.013,9.495,53.186,52.118
 2024-09-23 09:00:07,9.431,7.792,9.289,53.194,52.08
 2024-09-23 09:03:13,8.579,8.746,9.564,53.201,51.988
 2024-09-23 09:57:59,8.68,8.286,9.509,53.186,52.316
 2024-09-23 09:59:55,8.634,8.292,9.046,53.194,52.24
 2024-09-23 10:00:03,8.662,7.908,12.008,53.186,52.217
 2024-09-23 10:01:51,8.524,8.65,9.413,53.194,52.194
 2024-09-23 10:57:55,8.547,8.324,9.408,53.186,52.461
 2024-09-23 10:59:58,8.346,8.362,9.413,53.194,52.431
 2024-09-23 11:00:06,10.017,8.435,9.413,53.484,52.385
 2024-09-23 11:33:25,8.9,8.259,9.408,50.47,54.384
 2024-09-23 11:34:58,8.753,8.362,9.413,51.599,51.996
 2024-09-23 11:59:55,9.257,8.372,9.403,51.736,53.011
 2024-09-23 12:00:03,8.346,7.983,9.413,51.614,52.965
 2024-09-23 12:55:31,8.923,9.205,9.408,52.026,53.308
 2024-09-23 12:59:07,8.827,8.387,9.422,51.981,50.134
 2024-09-23 12:59:53,8.378,8.389,9.403,51.935,53.468
 2024-09-23 13:00:01,9.385,8.387,9.408,52.209,54.094
 2024-09-23 13:00:39,9.225,8.389,9.413,52.148,54.941
 2024-09-23 13:01:41,8.895,8.387,9.408,52.164,53.453
 2024-09-23 13:59:38,8.543,8.389,9.413,52.141,54.407
 2024-09-23 13:59:53,9.454,8.387,9.408,52.4,54.399
 2024-09-23 14:02:43,9.303,8.389,9.413,52.377,54.353
